"district_type";"district";"party";"rank_list";"name";"birth_year";"beruf";"pref_votes_abs"
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";1;"Schwarz, Gabriela";1990;"Abgeordnete";2089
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";2;"Berlakovich, DI Nikolaus";1961;"Landwirt";3556
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";3;"Kirisits, Karin";1968;"Angestellte";403
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";4;"Zarits, Christoph";1980;"Angestellter";696
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";5;"Pölz, Margot";1994;"Landwirtin";102
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";6;"Feiler, Andreas";1994;"Betriebsleiter";369
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";7;"De Lellis-Mejatsch, Mag. (FH) Patrizia";1976;"Personalreferentin";103
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";8;"Handig,  Gerald";1963;"Berufsoffizier";811
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";9;"Deutsch,  Irene";1961;"Selbstständig";72
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";10;"Karner, Mag. Volker";1987;"Jurist";76
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";11;"Michlits,  Barbara";1997;"Studentin";83
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";12;"Gyaky, Dr. med. univ. Heinz";1963;"Arzt";56
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";13;"Trimmel, Angelika";1979;"Polizeibeamtin";28
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";14;"Schmidt, Ilse";1971;"Landwirtin";33
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";1;"Drobits, Mag. Christian";1968;"Jurist";2415
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";2;"Zentgraf, Bettina";1971;"Winzerin";316
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";3;"Köllner, MA, Maximilian";1991;"Angestellter";2855
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";4;"Pratscher, Rebecca";1990;"Angestellte";266
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";5;"Schabhüttl, Jürgen";1971;"Polizist";466
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";6;"Hänsler, Verena";1983;"Reiseberaterin";56
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";7;"Decker, Wolfgang";1982;"Angestellter";412
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";8;"Strodl, Anna";1965;"Vertragsbedienstete";62
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";9;"Schwentenwein, DI (FH) Thomas";1983;"Techn. Angestellter";146
